epochs,Dataset,Model,Recall
50.0,CTGAN,DecisionTree,0.8101800000000001
50.0,TVAE,DecisionTree,0.80478
100.0,CTGAN,DecisionTree,0.8305400000000001
100.0,TVAE,DecisionTree,0.81186
200.0,CTGAN,DecisionTree,0.8055199999999999
200.0,TVAE,DecisionTree,0.84284
300.0,CTGAN,DecisionTree,0.8477833333333334
300.0,GaussianCopula,DecisionTree,0.79976
300.0,TVAE,DecisionTree,0.84422
500.0,CTGAN,DecisionTree,0.8129
500.0,TVAE,DecisionTree,0.84494
750.0,CTGAN,DecisionTree,0.83416
750.0,TVAE,DecisionTree,0.86804
1000.0,CTGAN,DecisionTree,0.82966
1000.0,TVAE,DecisionTree,0.8721399999999999
