epochs,Dataset,Model,F1
50.0,CTGAN,LogisticRegression,0.8581799999999999
50.0,TVAE,LogisticRegression,0.85124
100.0,CTGAN,LogisticRegression,0.86484
100.0,TVAE,LogisticRegression,0.85982
200.0,CTGAN,LogisticRegression,0.86542
200.0,TVAE,LogisticRegression,0.85362
300.0,CTGAN,LogisticRegression,0.8661
300.0,GaussianCopula,LogisticRegression,0.8280799999999999
300.0,TVAE,LogisticRegression,0.85032
500.0,CTGAN,LogisticRegression,0.86662
500.0,TVAE,LogisticRegression,0.8572599999999999
750.0,CTGAN,LogisticRegression,0.8644399999999999
750.0,TVAE,LogisticRegression,0.84102
1000.0,CTGAN,LogisticRegression,0.8596199999999999
1000.0,TVAE,LogisticRegression,0.86104
