run_name,total_sec,preprocessing_sec,anonymization_sec,synthesis_sec,ctgan_sec,tvae_sec,gaussian_sec,train_sec,evaluation_sec
loan_anon_k10_l2_sl0.01,65.0,0.0,4.0,,,,,59.0,0.0
loan_anon_k10_l2_sl0.05,53.0,0.0,2.0,,,,,48.0,1.0
loan_anon_k10_l2_sl0.1,53.0,0.0,3.0,,,,,46.0,1.0
loan_anon_k10_l3_sl0.01,56.0,0.0,5.0,,,,,48.0,1.0
loan_anon_k10_l3_sl0.05,58.0,0.0,4.0,,,,,53.0,0.0
loan_anon_k10_l3_sl0.1,34.0,0.0,2.0,,,,,29.0,1.0
loan_anon_k10_l4_sl0.01,64.0,1.0,3.0,,,,,59.0,0.0
loan_anon_k10_l4_sl0.05,4.0,0.0,2.0,,,,,1.0,0.0
loan_anon_k10_l4_sl0.1,3.0,0.0,1.0,,,,,1.0,0.0
loan_anon_k10_l5_sl0.01,47.0,0.0,4.0,,,,,41.0,1.0
loan_anon_k10_l5_sl0.05,53.0,1.0,3.0,,,,,47.0,0.0
loan_anon_k10_l5_sl0.1,52.0,0.0,4.0,,,,,46.0,0.0
loan_anon_k15_l2_sl0.01,58.0,0.0,4.0,,,,,53.0,0.0
loan_anon_k15_l2_sl0.05,62.0,0.0,3.0,,,,,57.0,0.0
loan_anon_k15_l2_sl0.1,55.0,0.0,4.0,,,,,48.0,1.0
loan_anon_k15_l3_sl0.01,62.0,0.0,3.0,,,,,57.0,1.0
loan_anon_k15_l3_sl0.05,63.0,0.0,4.0,,,,,57.0,1.0
loan_anon_k15_l3_sl0.1,61.0,0.0,4.0,,,,,55.0,1.0
loan_anon_k15_l4_sl0.01,53.0,0.0,2.0,,,,,49.0,1.0
loan_anon_k15_l4_sl0.05,51.0,0.0,2.0,,,,,47.0,0.0
loan_anon_k15_l4_sl0.1,61.0,0.0,4.0,,,,,56.0,0.0
loan_anon_k15_l5_sl0.01,58.0,0.0,3.0,,,,,51.0,1.0
