Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.5158,0.523,0.5158,0.5193,,,0.1628,0.1629
DecisionTree,CTGAN_HYBRID,0.3033,0.4264,0.3033,0.3305,,,-0.0006,-0.0006
DecisionTree,GaussianCopula_HYBRID,0.3383,0.4512,0.3383,0.3667,,,0.0252,0.0274
DecisionTree,Original,0.5408,0.547,0.5408,0.5438,,,0.2047,0.2048
DecisionTree,TVAE_HYBRID,0.3756,0.4539,0.3756,0.3997,0.514,22.5073,0.0317,0.0332
KNN,Anonymous,0.5176,0.4971,0.5176,0.5051,,,0.1183,0.119
KNN,CTGAN_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0
KNN,GaussianCopula_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0
KNN,Original,0.5173,0.497,0.5173,0.505,,,0.1183,0.1189
KNN,TVAE_HYBRID,0.5888,0.3467,0.5888,0.4364,0.5,6.8261,0.0,0.0
LogisticRegression,Anonymous,0.6034,0.5221,0.6034,0.4949,,,0.0946,0.1465
LogisticRegression,CTGAN_HYBRID,0.4084,0.522,0.4084,0.4545,,,0.1083,0.1128
LogisticRegression,GaussianCopula_HYBRID,0.5865,0.3462,0.5865,0.4354,,,-0.0023,-0.0187
LogisticRegression,Original,0.6063,0.5225,0.6063,0.5173,,,0.1355,0.1746
LogisticRegression,TVAE_HYBRID,0.586,0.3694,0.586,0.4352,0.664,1.1455,-0.0028,-0.02
RandomForest,Anonymous,0.6087,0.5645,0.6087,0.5652,,,0.212,0.2281
RandomForest,CTGAN_HYBRID,0.5613,0.4725,0.5613,0.4915,,,0.0728,0.085
RandomForest,GaussianCopula_HYBRID,0.5506,0.4446,0.5506,0.4666,,,0.024,0.0299
RandomForest,Original,0.6496,0.6254,0.6496,0.6034,,,0.2881,0.3132
RandomForest,TVAE_HYBRID,0.562,0.4802,0.562,0.4955,0.5991,1.2475,0.079,0.0912
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0
SVM,CTGAN_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0
SVM,GaussianCopula_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0
SVM,Original,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0
SVM,TVAE_HYBRID,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0
