Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.6712,0.6735,0.6712,0.6723,0.7236,11.3471,0.4676,0.4677
DecisionTree,CTGAN,0.3175,0.339,0.3175,0.3247,0.4655,24.5993,-0.0725,-0.0734
DecisionTree,GaussianCopula,0.4,0.4328,0.4,0.3908,0.5243,21.6262,0.0569,0.062
DecisionTree,Original,0.6825,0.689,0.6825,0.6855,0.7301,11.4444,0.4869,0.4872
DecisionTree,TVAE,0.6486,0.5325,0.6486,0.5848,,,0.3848,0.4052
KNN,Anonymous,0.6983,0.6795,0.6983,0.6854,0.804,3.5824,0.494,0.4974
KNN,CTGAN,0.3627,0.3853,0.3627,0.3582,0.4969,5.2837,-0.0018,-0.0019
KNN,GaussianCopula,0.4124,0.3823,0.4124,0.393,0.5043,5.2928,0.0088,0.009
KNN,Original,0.5774,0.5653,0.5774,0.5703,0.6948,4.7405,0.3,0.3007
KNN,TVAE,0.5605,0.4612,0.5605,0.5059,,,0.2332,0.2452
LogisticRegression,Anonymous,0.7401,0.7082,0.7401,0.7138,0.8608,0.628,0.5574,0.5663
LogisticRegression,CTGAN,0.2475,0.2544,0.2475,0.2337,0.4012,1.0957,-0.223,-0.2463
LogisticRegression,GaussianCopula,0.4734,0.4967,0.4734,0.4769,0.5921,1.4095,0.1783,0.1828
LogisticRegression,Original,0.7684,0.75,0.7684,0.7531,0.8778,0.5846,0.6091,0.615
LogisticRegression,TVAE,0.5785,0.4707,0.5785,0.5158,,,0.2428,0.2625
RandomForest,Anonymous,0.748,0.7264,0.748,0.7307,0.8655,0.9455,0.5748,0.5804
RandomForest,CTGAN,0.3085,0.3384,0.3085,0.2874,0.4337,1.0985,-0.1263,-0.1416
RandomForest,GaussianCopula,0.5593,0.4697,0.5593,0.503,0.6432,0.9774,0.2165,0.2311
RandomForest,Original,0.7774,0.7658,0.7774,0.7659,0.8879,0.6111,0.6247,0.6308
RandomForest,TVAE,0.6972,0.5712,0.6972,0.6279,,,0.4676,0.4934
