Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.6815,0.6847,0.6815,0.683,0.7321,11.0422,0.4845,0.4846
DecisionTree,CTGAN_HYBRID,0.3803,0.3947,0.3803,0.3829,0.5074,22.3373,0.0128,0.013
DecisionTree,GaussianCopula_HYBRID,0.4255,0.4143,0.4255,0.4182,0.5221,20.6561,0.0503,0.0506
DecisionTree,Original,0.6687,0.6821,0.6687,0.6746,0.7249,11.9422,0.4695,0.4702
DecisionTree,TVAE_HYBRID,0.6024,0.6144,0.6024,0.5826,0.6624,13.9773,0.3594,0.3818
KNN,Anonymous,0.6965,0.6837,0.6965,0.6882,0.8043,3.4713,0.4953,0.4971
KNN,CTGAN_HYBRID,0.3652,0.3951,0.3652,0.333,0.5416,4.9629,0.0228,0.0271
KNN,GaussianCopula_HYBRID,0.4729,0.4386,0.4729,0.45,0.565,5.3598,0.0977,0.0997
KNN,Original,0.5798,0.5704,0.5798,0.5742,0.703,4.3475,0.306,0.3067
KNN,TVAE_HYBRID,0.552,0.5637,0.552,0.5362,0.6951,8.5886,0.282,0.2983
LogisticRegression,Anonymous,0.7387,0.7085,0.7387,0.7142,0.8605,0.6238,0.5554,0.5636
LogisticRegression,CTGAN_HYBRID,0.323,0.3533,0.323,0.1598,0.5502,1.1209,0.0014,0.016
LogisticRegression,GaussianCopula_HYBRID,0.5316,0.5046,0.5316,0.4185,0.661,0.9762,0.0934,0.1583
LogisticRegression,Original,0.7756,0.7608,0.7756,0.7619,0.879,0.5821,0.6209,0.6275
LogisticRegression,TVAE_HYBRID,0.6724,0.6081,0.6724,0.6193,0.7978,1.2926,0.4474,0.4715
RandomForest,Anonymous,0.7485,0.73,0.7485,0.7329,0.87,0.8722,0.5744,0.5811
RandomForest,CTGAN_HYBRID,0.3486,0.407,0.3486,0.2286,0.516,1.1653,0.023,0.0556
RandomForest,GaussianCopula_HYBRID,0.4887,0.3847,0.4887,0.3879,0.5704,1.02,0.0307,0.0424
RandomForest,Original,0.7718,0.7574,0.7718,0.7574,0.8905,0.6471,0.6138,0.6209
RandomForest,TVAE_HYBRID,0.6649,0.6447,0.6649,0.6204,0.7923,2.5612,0.4439,0.4749
