epochs,Dataset,Model,Precision
20.0,CTGAN,RandomForest,0.3998
40.0,CTGAN,RandomForest,0.35156666666666664
40.0,TVAE,RandomForest,0.5651333333333334
60.0,CTGAN,RandomForest,0.4062666666666666
60.0,TVAE,RandomForest,0.5646
80.0,CTGAN,RandomForest,0.41500000000000004
80.0,TVAE,RandomForest,0.613275
100.0,CTGAN,RandomForest,0.27976666666666666
100.0,TVAE,RandomForest,0.6009666666666666
120.0,CTGAN,RandomForest,0.349825
120.0,TVAE,RandomForest,0.6593
150.0,CTGAN,RandomForest,0.4240333333333333
150.0,TVAE,RandomForest,0.6498
200.0,CTGAN,RandomForest,0.3095
200.0,TVAE,RandomForest,0.6833333333333332
250.0,CTGAN,RandomForest,0.48116000000000003
250.0,TVAE,RandomForest,0.67204
300.0,CTGAN,RandomForest,0.5477
300.0,GaussianCopula,RandomForest,0.523209090909091
300.0,TVAE,RandomForest,0.6948090909090909
400.0,CTGAN,RandomForest,0.5906
400.0,TVAE,RandomForest,0.6925333333333333
500.0,CTGAN,RandomForest,0.6251
500.0,TVAE,RandomForest,0.69118
750.0,CTGAN,RandomForest,0.62806
750.0,TVAE,RandomForest,0.69228
1000.0,CTGAN,RandomForest,0.627375
1000.0,TVAE,RandomForest,0.711425
