Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,k_anonymity
DecisionTree,Anonymous,0.6375,0.628,0.6375,0.6322,,,0.1272,0.1276,10
DecisionTree,Original,0.7042,0.7228,0.7042,0.7108,,,0.3433,0.3467,10
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,10
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,10
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,10
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,10
RandomForest,Anonymous,0.5583,0.5583,0.5583,0.5583,,,-0.0355,-0.0355,10
RandomForest,Original,0.8083,0.8048,0.8083,0.7962,,,0.5063,0.5239,10
DecisionTree,Anonymous,0.6458,0.634,0.6458,0.639,,,0.1407,0.1413,15
DecisionTree,Original,0.7083,0.7254,0.7083,0.7145,,,0.3502,0.3532,15
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,15
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,15
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,15
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,15
RandomForest,Anonymous,0.55,0.5598,0.55,0.5546,,,-0.0318,-0.0319,15
RandomForest,Original,0.7917,0.7842,0.7917,0.7813,,,0.472,0.4829,15
DecisionTree,Anonymous,0.6417,0.6363,0.6417,0.6388,,,0.1471,0.1472,2
DecisionTree,Original,0.7,0.7174,0.7,0.7064,,,0.3317,0.3345,2
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,2
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,2
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,2
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,2
RandomForest,Anonymous,0.5625,0.5737,0.5625,0.5677,,,0.0005,0.0005,2
RandomForest,Original,0.8125,0.8075,0.8125,0.8038,,,0.5267,0.5376,2
DecisionTree,Anonymous,0.625,0.625,0.625,0.625,,,0.1208,0.1208,20
DecisionTree,Original,0.7083,0.7254,0.7083,0.7145,,,0.3502,0.3532,20
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,20
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,20
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,20
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,20
RandomForest,Anonymous,0.5583,0.5648,0.5583,0.5615,,,-0.0202,-0.0202,20
RandomForest,Original,0.7833,0.7749,0.7833,0.7712,,,0.4464,0.4592,20
DecisionTree,Anonymous,0.6375,0.6253,0.6375,0.6305,,,0.1205,0.121,3
DecisionTree,Original,0.7,0.723,0.7,0.7077,,,0.3411,0.3458,3
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,3
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,3
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,3
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,3
RandomForest,Anonymous,0.5625,0.5705,0.5625,0.5663,,,-0.0069,-0.0069,3
RandomForest,Original,0.8,0.7936,0.8,0.7901,,,0.4931,0.5045,3
DecisionTree,Anonymous,0.6542,0.6427,0.6542,0.6475,,,0.1609,0.1616,5
DecisionTree,Original,0.7,0.7174,0.7,0.7064,,,0.3317,0.3345,5
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,5
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,5
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,5
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,5
RandomForest,Anonymous,0.5542,0.5591,0.5542,0.5566,,,-0.0336,-0.0337,5
RandomForest,Original,0.8,0.7941,0.8,0.7888,,,0.489,0.503,5
