epochs,Dataset,Model,F1
20.0,CTGAN,KNN,0.38702000000000003
20.0,TVAE,KNN,0.3325
40.0,CTGAN,KNN,0.32378
40.0,TVAE,KNN,0.47085999999999995
60.0,CTGAN,KNN,0.39514
60.0,TVAE,KNN,0.48318000000000005
80.0,CTGAN,KNN,0.32789999999999997
80.0,TVAE,KNN,0.50826
100.0,CTGAN,KNN,0.37326
100.0,TVAE,KNN,0.52732
120.0,CTGAN,KNN,0.28744000000000003
120.0,TVAE,KNN,0.52108
150.0,CTGAN,KNN,0.37728
150.0,TVAE,KNN,0.5256000000000001
200.0,CTGAN,KNN,0.37332
200.0,TVAE,KNN,0.51954
250.0,CTGAN,KNN,0.40022
250.0,TVAE,KNN,0.5365200000000001
300.0,CTGAN,KNN,0.45044375000000003
300.0,GaussianCopula,KNN,0.404525
300.0,TVAE,KNN,0.5168375000000001
400.0,CTGAN,KNN,0.48317999999999994
400.0,TVAE,KNN,0.52556
500.0,CTGAN,KNN,0.47872000000000003
500.0,TVAE,KNN,0.5303
750.0,CTGAN,KNN,0.44661999999999996
750.0,TVAE,KNN,0.53522
1000.0,CTGAN,KNN,0.48358
1000.0,TVAE,KNN,0.5422
