epochs,Dataset,Model,Accuracy
50.0,CTGAN,RandomForest,0.86518
50.0,TVAE,RandomForest,0.89144
100.0,CTGAN,RandomForest,0.86922
100.0,TVAE,RandomForest,0.89186
200.0,CTGAN,RandomForest,0.8918799999999999
200.0,TVAE,RandomForest,0.8879400000000001
300.0,CTGAN,RandomForest,0.8926666666666666
300.0,GaussianCopula,RandomForest,0.883
300.0,TVAE,RandomForest,0.8699999999999999
500.0,CTGAN,RandomForest,0.8748400000000001
500.0,TVAE,RandomForest,0.87248
750.0,CTGAN,RandomForest,0.88924
750.0,TVAE,RandomForest,0.8785999999999999
1000.0,CTGAN,RandomForest,0.88522
1000.0,TVAE,RandomForest,0.89204
