Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.7454,0.8114,0.7454,0.7741,N/A,N/A,0.0779,0.0825
DecisionTree,Original,0.7387,0.8311,0.7387,0.7752,N/A,N/A,0.1493,0.1651
KNN,Anonymous,0.8729,0.8334,0.8729,0.8448,N/A,N/A,0.142,0.1657
KNN,Original,0.8819,0.8612,0.8819,0.8676,N/A,N/A,0.2998,0.3136
LogisticRegression,Anonymous,0.8825,0.819,0.8825,0.8289,N/A,N/A,0.0061,0.0274
LogisticRegression,Original,0.8786,0.8512,0.8786,0.8589,N/A,N/A,0.238,0.2582
RandomForest,Anonymous,0.8787,0.8185,0.8787,0.8324,N/A,N/A,0.0364,0.0665
RandomForest,Original,0.8698,0.8393,0.8698,0.8498,N/A,N/A,0.1922,0.2068
SVM,Anonymous,0.883,0.7797,0.883,0.8281,N/A,N/A,0.0,0.0
SVM,Original,0.8829,0.8361,0.8829,0.8302,N/A,N/A,0.014,0.0539
