Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.4308,0.4332,0.4308,0.4319,0.5657,20.4864,0.1222,0.1222
DecisionTree,Original,0.4438,0.4501,0.4438,0.4467,0.5831,20.0498,0.1506,0.1507
KNN,Anonymous,0.4808,0.4257,0.4808,0.4325,0.5828,6.6659,0.0959,0.1037
KNN,Original,0.4781,0.422,0.4781,0.4311,0.587,6.5115,0.0958,0.103
LogisticRegression,Anonymous,0.5443,0.4125,0.5443,0.4234,0.7313,1.0566,0.1455,0.214
LogisticRegression,Original,0.5694,0.3768,0.5694,0.4522,0.7521,0.9618,0.2318,0.2893
RandomForest,Anonymous,0.4969,0.4379,0.4969,0.4524,0.7032,1.4254,0.1481,0.1567
RandomForest,Original,0.532,0.4757,0.532,0.4863,0.7314,1.2071,0.2166,0.2284
SVM,Anonymous,0.5302,0.3703,0.5302,0.3887,,,0.0735,0.1708
SVM,Original,0.5302,0.3703,0.5302,0.3887,,,0.0735,0.1708
