Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.3642,0.4024,0.3642,0.3766,0.5444,22.8777,0.078,0.0793
DecisionTree,Original,0.4491,0.4551,0.4491,0.4519,0.5848,19.858,0.1575,0.1576
KNN,Anonymous,0.4813,0.4263,0.4813,0.4334,0.5855,6.6115,0.0976,0.1054
KNN,Original,0.4781,0.422,0.4781,0.4311,0.587,6.5115,0.0958,0.103
LogisticRegression,Anonymous,0.5455,0.3594,0.5455,0.4229,0.723,1.0265,0.1502,0.2184
LogisticRegression,Original,0.5694,0.3768,0.5694,0.4522,0.7521,0.9618,0.2318,0.2893
RandomForest,Anonymous,0.5106,0.4425,0.5106,0.454,0.6804,1.3291,0.1633,0.1773
RandomForest,Original,0.5308,0.4722,0.5308,0.4831,0.7313,1.232,0.2128,0.2252
SVM,Anonymous,0.5302,0.3703,0.5302,0.3887,,,0.0735,0.1708
SVM,Original,0.5302,0.3703,0.5302,0.3887,,,0.0735,0.1708
