Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.5196,0.5475,0.5196,0.5294,0.6115,17.3162,0.2375,0.2398
DecisionTree,Original,0.6792,0.6964,0.6792,0.6864,0.7375,11.5622,0.4885,0.4898
DecisionTree,TVAE,0.616,0.6216,0.616,0.6167,0.6805,13.8421,0.3822,0.3838
KNN,CTGAN,0.4601,0.4796,0.4601,0.4684,0.592,5.9749,0.1431,0.1437
KNN,Original,0.5798,0.5704,0.5798,0.5742,0.703,4.3475,0.306,0.3067
KNN,TVAE,0.5557,0.5165,0.5557,0.5182,0.6515,6.9201,0.2404,0.2485
LogisticRegression,CTGAN,0.6235,0.6045,0.6235,0.6121,0.7516,0.8591,0.372,0.3738
LogisticRegression,Original,0.7756,0.7608,0.7756,0.7619,0.879,0.5821,0.6209,0.6275
LogisticRegression,TVAE,0.686,0.6656,0.686,0.6645,0.8021,1.0193,0.4781,0.4862
RandomForest,CTGAN,0.6258,0.6195,0.6258,0.6223,0.7667,0.9415,0.3878,0.388
RandomForest,Original,0.7748,0.7591,0.7748,0.7592,0.888,0.5997,0.6186,0.6259
RandomForest,TVAE,0.7048,0.6871,0.7048,0.6869,0.8399,0.9547,0.5104,0.5171
