Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.4688,0.7018,0.4688,0.4452,0.5864,19.1482,0.1226,0.1937
DecisionTree,Original,0.7812,0.7794,0.7812,0.7802,0.7409,7.8845,0.4862,0.4864
KNN,Anonymous,0.6146,0.5719,0.6146,0.5861,0.499,2.8304,0.0034,0.0035
KNN,Original,0.6146,0.5719,0.6146,0.5861,0.499,2.8304,0.0034,0.0035
LogisticRegression,Anonymous,0.4167,0.696,0.4167,0.3625,0.5747,1.1941,0.0782,0.1512
LogisticRegression,Original,0.8333,0.8355,0.8333,0.8225,0.7894,0.4577,0.5733,0.5949
RandomForest,Anonymous,0.4167,0.696,0.4167,0.3625,0.5162,1.2197,0.0782,0.1512
RandomForest,Original,0.7917,0.7883,0.7917,0.7896,0.801,0.4858,0.5062,0.5068
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0
