Tech-support;Adm-clerical*;Adm-clerical**;*
Adm-clerical;Adm-clerical*;Adm-clerical**;*
Exec-managerial;Exec-managerial*;Adm-clerical**;*
Prof-specialty;Prof-specialty*;Adm-clerical**;*
Sales;Sales*;Adm-clerical**;*
Other-service;Priv-house-serv*;Priv-house-serv**;*
Priv-house-serv;Priv-house-serv*;Priv-house-serv**;*
Protective-serv;Protective-serv*;Priv-house-serv**;*
Craft-repair;Craft-repair*;Craft-repair**;*
Machine-op-inspct;Machine-op-inspct*;Craft-repair**;*
Transport-moving;Transport-moving*;Craft-repair**;*
Handlers-cleaners;Handlers-cleaners*;Craft-repair**;*
Farming-fishing;Farming-fishing*;Craft-repair**;*
Armed-Forces;Armed-Force*;Craft-repair**;*
?;Armed-Force*;Craft-repair**;*
