United-States;United-States*;United-States**;United-States***;*
Canada;United-States*;United-States**;United-States***;*
Mexico;United-States*;United-States**;United-States***;*
Outlying-US(Guam-USVI-etc);United-States*;United-States**;United-States***;*
Puerto-Rico;Puerto-Rico*;United-States**;United-States***;*
Jamaica;Puerto-Rico*;United-States**;United-States***;*
Cuba;Puerto-Rico*;United-States**;United-States***;*
Dominican-Republic;Puerto-Rico*;United-States**;United-States***;*
Haiti;Puerto-Rico*;United-States**;United-States***;*
Trinadad&Tobago;Puerto-Rico*;United-States**;United-States***;*
El-Salvador;El-Salvador*;United-States**;United-States***;*
Honduras;El-Salvador*;United-States**;United-States***;*
Nicaragua;El-Salvador*;United-States**;United-States***;*
Guatemala;El-Salvador*;United-States**;United-States***;*
Ecuador;El-Salvador*;United-States**;United-States***;*
Peru;Columbia*;United-States**;United-States***;*
Columbia;Columbia*;United-States**;United-States***;*
France;England*;England**;China***;*
Germany;England*;England**;China***;*
England;England*;England**;China***;*
Holand-Netherlands;England*;England**;China***;*
Ireland;England*;England**;China***;*
Scotland;England*;England**;China***;*
Italy;Italy*;England**;China***;*
Greece;Italy*;England**;China***;*
Portugal;Italy*;England**;China***;*
Hungary;Poland*;England**;China***;*
Poland;Poland*;England**;China***;*
Yugoslavia;Poland*;England**;China***;*
Iran;India*;China**;China***;*
India;India*;China**;China***;*
Cambodia;India*;China**;China***;*
Philippines;India*;China**;China***;*
Thailand;India*;China**;China***;*
Vietnam;India*;China**;China***;*
Laos;India*;China**;China***;*
China;China*;China**;China***;*
Japan;China*;China**;China***;*
Taiwan;China*;China**;China***;*
Hong;China*;China**;China***;*
South;South*;China**;China***;*
?;South*;China**;China***;*
