Preschool;Preschool*;7th-8th**;7th-8th***;*
1st-4th;1st-4th*;7th-8th**;7th-8th***;*
5th-6th;1st-4th*;7th-8th**;7th-8th***;*
7th-8th;7th-8th*;7th-8th**;7th-8th***;*
9th;7th-8th*;7th-8th**;7th-8th***;*
10th;HS-grad*;7th-8th**;7th-8th***;*
11th;HS-grad*;7th-8th**;7th-8th***;*
12th;HS-grad*;7th-8th**;7th-8th***;*
HS-grad;HS-grad*;7th-8th**;7th-8th***;*
Some-college;Some-college*;Some-college**;Some-college***;*
Assoc-acdm;Assoc-acdm*;Some-college**;Some-college***;*
Assoc-voc;Assoc-acdm*;Some-college**;Some-college***;*
Bachelors;Bachelors*;Bachelors**;Some-college***;*
Masters;Masters*;Bachelors**;Some-college***;*
Doctorate;Doctorate*;Bachelors**;Some-college***;*
Prof-school;Prof-school*;Bachelors**;Some-college***;*
