17;[17, 19[;[17, 21[;[17, 25[;[17, 33[;[17, 49[;[17, 81[;*
18;[17, 19[;[17, 21[;[17, 25[;[17, 33[;[17, 49[;[17, 81[;*
19;[19, 21[;[17, 21[;[17, 25[;[17, 33[;[17, 49[;[17, 81[;*
20;[19, 21[;[17, 21[;[17, 25[;[17, 33[;[17, 49[;[17, 81[;*
21;[21, 23[;[21, 25[;[17, 25[;[17, 33[;[17, 49[;[17, 81[;*
22;[21, 23[;[21, 25[;[17, 25[;[17, 33[;[17, 49[;[17, 81[;*
23;[23, 25[;[21, 25[;[17, 25[;[17, 33[;[17, 49[;[17, 81[;*
24;[23, 25[;[21, 25[;[17, 25[;[17, 33[;[17, 49[;[17, 81[;*
25;[25, 27[;[25, 29[;[25, 33[;[17, 33[;[17, 49[;[17, 81[;*
26;[25, 27[;[25, 29[;[25, 33[;[17, 33[;[17, 49[;[17, 81[;*
27;[27, 29[;[25, 29[;[25, 33[;[17, 33[;[17, 49[;[17, 81[;*
28;[27, 29[;[25, 29[;[25, 33[;[17, 33[;[17, 49[;[17, 81[;*
29;[29, 31[;[29, 33[;[25, 33[;[17, 33[;[17, 49[;[17, 81[;*
30;[29, 31[;[29, 33[;[25, 33[;[17, 33[;[17, 49[;[17, 81[;*
31;[31, 33[;[29, 33[;[25, 33[;[17, 33[;[17, 49[;[17, 81[;*
32;[31, 33[;[29, 33[;[25, 33[;[17, 33[;[17, 49[;[17, 81[;*
33;[33, 35[;[33, 37[;[33, 41[;[33, 49[;[17, 49[;[17, 81[;*
34;[33, 35[;[33, 37[;[33, 41[;[33, 49[;[17, 49[;[17, 81[;*
35;[35, 37[;[33, 37[;[33, 41[;[33, 49[;[17, 49[;[17, 81[;*
36;[35, 37[;[33, 37[;[33, 41[;[33, 49[;[17, 49[;[17, 81[;*
37;[37, 39[;[37, 41[;[33, 41[;[33, 49[;[17, 49[;[17, 81[;*
38;[37, 39[;[37, 41[;[33, 41[;[33, 49[;[17, 49[;[17, 81[;*
39;[39, 41[;[37, 41[;[33, 41[;[33, 49[;[17, 49[;[17, 81[;*
40;[39, 41[;[37, 41[;[33, 41[;[33, 49[;[17, 49[;[17, 81[;*
41;[41, 43[;[41, 45[;[41, 49[;[33, 49[;[17, 49[;[17, 81[;*
42;[41, 43[;[41, 45[;[41, 49[;[33, 49[;[17, 49[;[17, 81[;*
43;[43, 45[;[41, 45[;[41, 49[;[33, 49[;[17, 49[;[17, 81[;*
44;[43, 45[;[41, 45[;[41, 49[;[33, 49[;[17, 49[;[17, 81[;*
45;[45, 47[;[45, 49[;[41, 49[;[33, 49[;[17, 49[;[17, 81[;*
46;[45, 47[;[45, 49[;[41, 49[;[33, 49[;[17, 49[;[17, 81[;*
47;[47, 49[;[45, 49[;[41, 49[;[33, 49[;[17, 49[;[17, 81[;*
48;[47, 49[;[45, 49[;[41, 49[;[33, 49[;[17, 49[;[17, 81[;*
49;[49, 51[;[49, 53[;[49, 57[;[49, 65[;[49, 81[;[17, 81[;*
50;[49, 51[;[49, 53[;[49, 57[;[49, 65[;[49, 81[;[17, 81[;*
51;[51, 53[;[49, 53[;[49, 57[;[49, 65[;[49, 81[;[17, 81[;*
52;[51, 53[;[49, 53[;[49, 57[;[49, 65[;[49, 81[;[17, 81[;*
53;[53, 55[;[53, 57[;[49, 57[;[49, 65[;[49, 81[;[17, 81[;*
54;[53, 55[;[53, 57[;[49, 57[;[49, 65[;[49, 81[;[17, 81[;*
55;[55, 57[;[53, 57[;[49, 57[;[49, 65[;[49, 81[;[17, 81[;*
56;[55, 57[;[53, 57[;[49, 57[;[49, 65[;[49, 81[;[17, 81[;*
57;[57, 59[;[57, 61[;[57, 65[;[49, 81[;[49, 81[;[17, 81[;*
58;[57, 59[;[57, 61[;[57, 65[;[49, 81[;[49, 81[;[17, 81[;*
59;[59, 61[;[57, 61[;[57, 65[;[49, 81[;[49, 81[;[17, 81[;*
60;[59, 61[;[57, 61[;[57, 65[;[49, 81[;[49, 81[;[17, 81[;*
61;[61, 63[;[61, 65[;[57, 65[;[49, 81[;[49, 81[;[17, 81[;*
62;[61, 63[;[61, 65[;[57, 65[;[49, 81[;[49, 81[;[17, 81[;*
63;[63, 65[;[61, 65[;[57, 65[;[49, 81[;[49, 81[;[17, 81[;*
64;[63, 65[;[61, 65[;[57, 65[;[49, 81[;[49, 81[;[17, 81[;*
65;[65, 67[;[65, 69[;[65, 73[;[65, 81[;[49, 81[;[17, 81[;*
66;[65, 67[;[65, 69[;[65, 73[;[65, 81[;[49, 81[;[17, 81[;*
67;[67, 69[;[65, 69[;[65, 73[;[65, 81[;[49, 81[;[17, 81[;*
68;[67, 69[;[65, 69[;[65, 73[;[65, 81[;[49, 81[;[17, 81[;*
69;[69, 71[;[69, 73[;[65, 73[;[65, 81[;[49, 81[;[17, 81[;*
70;[69, 71[;[69, 73[;[65, 73[;[65, 81[;[49, 81[;[17, 81[;*
71;[71, 73[;[69, 73[;[65, 73[;[65, 81[;[49, 81[;[17, 81[;*
72;[71, 73[;[69, 73[;[65, 73[;[65, 81[;[49, 81[;[17, 81[;*
73;[73, 75[;[73, 77[;[73, 81[;[65, 81[;[49, 81[;[17, 81[;*
74;[73, 75[;[73, 77[;[73, 81[;[65, 81[;[49, 81[;[17, 81[;*
75;[75, 77[;[73, 77[;[73, 81[;[65, 81[;[49, 81[;[17, 81[;*
76;[75, 77[;[73, 77[;[73, 81[;[65, 81[;[49, 81[;[17, 81[;*
77;[77, 79[;[77, 81[;[73, 81[;[65, 81[;[49, 81[;[17, 81[;*
