Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.6042,0.642,0.6042,0.6169,0.5814,14.2673,0.1485,0.1524
DecisionTree,CTGAN_HYBRID,0.625,0.6105,0.625,0.6167,0.5391,13.5164,0.0813,0.0817
DecisionTree,GaussianCopula_HYBRID,0.5625,0.5864,0.5625,0.5725,0.5132,15.7691,0.0249,0.0252
DecisionTree,Original,0.75,0.7609,0.75,0.7541,0.7245,9.0109,0.4326,0.4345
DecisionTree,TVAE_HYBRID,0.6736,0.4777,0.6736,0.559,0.485,11.7642,-0.0406,-0.0968
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681
KNN,CTGAN_HYBRID,0.6736,0.5407,0.6736,0.5704,0.4395,4.6872,-0.023,-0.0435
KNN,GaussianCopula_HYBRID,0.6111,0.5194,0.6111,0.5519,0.4456,3.5388,-0.098,-0.114
KNN,Original,0.6597,0.6276,0.6597,0.6366,0.4986,2.8046,0.1136,0.118
KNN,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.4914,10.7804,0.0,0.0
LogisticRegression,Anonymous,0.5694,0.6275,0.5694,0.5859,0.5766,0.6854,0.11,0.116
LogisticRegression,CTGAN_HYBRID,0.6875,0.6297,0.6875,0.6159,0.5591,0.6296,0.0679,0.093
LogisticRegression,GaussianCopula_HYBRID,0.6875,0.6447,0.6875,0.6429,0.518,0.638,0.1243,0.1423
LogisticRegression,Original,0.8403,0.8431,0.8403,0.8294,0.788,0.4495,0.5839,0.6067
LogisticRegression,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.5155,1.9625,0.0,0.0
RandomForest,Anonymous,0.6528,0.6397,0.6528,0.6451,0.6284,0.6428,0.1493,0.1501
RandomForest,CTGAN_HYBRID,0.6736,0.5854,0.6736,0.5901,0.5525,0.6622,0.0105,0.0156
RandomForest,GaussianCopula_HYBRID,0.6458,0.5711,0.6458,0.5885,0.5428,0.6398,-0.0077,-0.0091
RandomForest,Original,0.8264,0.8218,0.8264,0.8218,0.801,0.4833,0.5718,0.576
RandomForest,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,0.536,7.335,0.0,0.0
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0
SVM,Original,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0
SVM,TVAE_HYBRID,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0
