Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.3893,0.3924,0.3893,0.3902,0.5018,22.0116,0.0082,0.0082
DecisionTree,Original,0.6792,0.697,0.6792,0.6867,0.7364,11.5622,0.4885,0.4898
DecisionTree,TVAE,0.5602,0.5867,0.5602,0.568,0.6508,15.8505,0.3084,0.3119
KNN,CTGAN,0.448,0.4145,0.448,0.4221,0.5298,6.1444,0.0505,0.0523
KNN,Original,0.5798,0.5704,0.5798,0.5742,0.703,4.3475,0.306,0.3067
KNN,TVAE,0.5369,0.4839,0.5369,0.4965,0.6403,8.0112,0.1907,0.1983
LogisticRegression,CTGAN,0.4834,0.4171,0.4834,0.3508,0.5155,1.0595,0.0011,0.0021
LogisticRegression,Original,0.7756,0.7608,0.7756,0.7619,0.879,0.5821,0.6209,0.6275
LogisticRegression,TVAE,0.6084,0.5598,0.6084,0.5712,0.7156,2.4345,0.3234,0.3326
RandomForest,CTGAN,0.4947,0.3849,0.4947,0.3567,0.5291,1.0344,0.0094,0.0202
RandomForest,Original,0.7801,0.7666,0.7801,0.7667,0.8886,0.6238,0.6284,0.6352
RandomForest,TVAE,0.6807,0.6677,0.6807,0.6608,0.8213,1.0738,0.4739,0.4849
