Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,epochs
DecisionTree,CTGAN,0.5083,0.5884,0.5083,0.5268,,,0.0291,0.0319,1
DecisionTree,Original,0.7083,0.7282,0.7083,0.7152,,,0.3548,0.3588,1
DecisionTree,TVAE,0.5875,0.5381,0.5875,0.557,,,-0.0759,-0.0794,1
KNN,CTGAN,0.7042,0.6855,0.7042,0.6181,,,0.0923,0.1557,1
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,1
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,1
LogisticRegression,TVAE,0.6875,0.4775,0.6875,0.5636,,,-0.0083,-0.0432,1
RandomForest,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1
RandomForest,Original,0.8042,0.7986,0.8042,0.7938,,,0.5017,0.5146,1
RandomForest,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1
DecisionTree,CTGAN,0.4708,0.5428,0.4708,0.491,,,-0.0617,-0.0666,2
DecisionTree,Original,0.7083,0.7176,0.7083,0.7122,,,0.3361,0.337,2
DecisionTree,TVAE,0.6292,0.5774,0.6292,0.5927,,,0.008,0.0086,2
KNN,CTGAN,0.5792,0.5744,0.5792,0.5767,,,0.0021,0.0021,2
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,2
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,2
LogisticRegression,CTGAN,0.65,0.6526,0.65,0.6513,,,0.1855,0.1856,2
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,2
LogisticRegression,TVAE,0.6333,0.5886,0.6333,0.6019,,,0.0315,0.0334,2
RandomForest,CTGAN,0.6542,0.6299,0.6542,0.6381,,,0.1271,0.1297,2
RandomForest,Original,0.7958,0.7891,0.7958,0.785,,,0.4805,0.4928,2
RandomForest,TVAE,0.65,0.5923,0.65,0.604,,,0.0349,0.0392,2
DecisionTree,CTGAN,0.4042,0.5616,0.4042,0.3948,,,-0.0136,-0.0195,3
DecisionTree,Original,0.7125,0.7308,0.7125,0.7189,,,0.3618,0.3653,3
DecisionTree,TVAE,0.4542,0.5502,0.4542,0.4724,,,-0.0417,-0.0477,3
KNN,CTGAN,0.45,0.571,0.45,0.4617,,,-0.0038,-0.0047,3
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,3
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,3
LogisticRegression,CTGAN,0.7125,0.6958,0.7125,0.6435,,,0.143,0.2025,3
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,3
LogisticRegression,TVAE,0.5792,0.5839,0.5792,0.5814,,,0.0243,0.0243,3
RandomForest,CTGAN,0.5792,0.6021,0.5792,0.5886,,,0.0658,0.0665,3
RandomForest,Original,0.7875,0.78,0.7875,0.7748,,,0.4548,0.4692,3
RandomForest,TVAE,0.5708,0.588,0.5708,0.5783,,,0.0336,0.0338,3
