Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.5627,0.6087,0.5627,0.5796,,,0.3206,0.325
DecisionTree,CTGAN,0.4712,0.5378,0.4712,0.4926,,,0.1996,0.2066
DecisionTree,GaussianCopula,0.4282,0.4065,0.4282,0.4145,,,0.0418,0.0422
DecisionTree,Original,0.6915,0.6973,0.6915,0.6942,,,0.5027,0.5029
DecisionTree,TVAE,0.5887,0.618,0.5887,0.5932,,,0.3529,0.3601
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526
KNN,CTGAN,0.4034,0.4319,0.4034,0.4143,,,0.0682,0.0689
KNN,GaussianCopula,0.3672,0.3743,0.3672,0.3621,,,-0.0151,-0.0156
KNN,Original,0.5774,0.5653,0.5774,0.5703,,,0.3,0.3007
KNN,TVAE,0.5322,0.5021,0.5322,0.512,,,0.2047,0.2076
LogisticRegression,Anonymous,0.7469,0.7427,0.7469,0.7439,,,0.5838,0.5848
LogisticRegression,CTGAN,0.6045,0.6052,0.6045,0.6045,,,0.3536,0.3539
LogisticRegression,GaussianCopula,0.5864,0.5722,0.5864,0.5237,,,0.2419,0.29
LogisticRegression,Original,0.7492,0.7199,0.7492,0.7239,,,0.5716,0.5815
LogisticRegression,TVAE,0.6791,0.6556,0.6791,0.6639,,,0.4655,0.4682
RandomForest,Anonymous,0.7458,0.7209,0.7458,0.7245,,,0.571,0.5775
RandomForest,CTGAN,0.5887,0.6058,0.5887,0.5965,,,0.3427,0.3433
RandomForest,GaussianCopula,0.5345,0.4717,0.5345,0.4756,,,0.1705,0.1887
RandomForest,Original,0.7706,0.7564,0.7706,0.7575,,,0.6127,0.6191
RandomForest,TVAE,0.6915,0.6908,0.6915,0.685,,,0.498,0.5031
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0
SVM,CTGAN,0.4881,0.3693,0.4881,0.3799,,,0.014,0.0214
SVM,GaussianCopula,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0
SVM,Original,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0
SVM,TVAE,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407
