epochs,Dataset,Model,Recall
20.0,CTGAN,KNN,0.6639
40.0,CTGAN,KNN,0.64446
60.0,CTGAN,KNN,0.59584
80.0,CTGAN,KNN,0.6402599999999999
100.0,CTGAN,KNN,0.5430400000000001
120.0,CTGAN,KNN,0.66248
150.0,CTGAN,KNN,0.6208400000000001
200.0,CTGAN,KNN,0.58332
200.0,TVAE,KNN,0.6944
250.0,CTGAN,KNN,0.5958399999999999
250.0,TVAE,KNN,0.6944
300.0,CTGAN,KNN,0.59981875
300.0,GaussianCopula,KNN,0.65145625
300.0,TVAE,KNN,0.6944
400.0,CTGAN,KNN,0.6014
400.0,TVAE,KNN,0.6875
500.0,CTGAN,KNN,0.68194
500.0,TVAE,KNN,0.6625
1000.0,CTGAN,KNN,0.6402599999999999
1000.0,TVAE,KNN,0.6402599999999999
