epochs,Dataset,Model,Precision
20.0,CTGAN,SVM,0.48230000000000006
40.0,CTGAN,SVM,0.48230000000000006
60.0,CTGAN,SVM,0.4817
80.0,CTGAN,SVM,0.54408
100.0,CTGAN,SVM,0.48200000000000004
120.0,CTGAN,SVM,0.48200000000000004
150.0,CTGAN,SVM,0.4814
200.0,CTGAN,SVM,0.59294
200.0,TVAE,SVM,0.48230000000000006
250.0,CTGAN,SVM,0.4817
250.0,TVAE,SVM,0.48230000000000006
300.0,CTGAN,SVM,0.5276500000000001
300.0,GaussianCopula,SVM,0.713975
300.0,TVAE,SVM,0.4823
400.0,CTGAN,SVM,0.5027999999999999
400.0,TVAE,SVM,0.48230000000000006
500.0,CTGAN,SVM,0.48230000000000006
500.0,TVAE,SVM,0.48230000000000006
1000.0,CTGAN,SVM,0.48230000000000006
1000.0,TVAE,SVM,0.48230000000000006
