Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.8107,0.8198,0.8107,0.8151,0.5669,6.8237,0.1274,0.1276
DecisionTree,GaussianCopula,0.813,0.8079,0.813,0.8104,0.5342,6.74,0.0702,0.0702
DecisionTree,Original,0.8338,0.8414,0.8338,0.8375,0.6214,5.9907,0.2318,0.2322
DecisionTree,TVAE,0.8117,0.8341,0.8117,0.822,0.6088,6.7878,0.1928,0.195
KNN,CTGAN,0.8768,0.8246,0.8768,0.8367,0.5751,2.5333,0.0708,0.1035
KNN,GaussianCopula,0.876,0.796,0.876,0.827,0.5009,2.6155,0.0032,0.0064
KNN,Original,0.8779,0.8378,0.8779,0.8459,0.6105,2.1223,0.1376,0.172
KNN,TVAE,0.7417,0.8185,0.7417,0.7739,0.6055,6.8405,0.105,0.113
LogisticRegression,CTGAN,0.8932,0.8723,0.8932,0.8661,0.6827,0.3337,0.2526,0.3105
LogisticRegression,GaussianCopula,0.8829,0.7797,0.8829,0.8281,0.7303,0.3382,-0.0002,-0.0038
LogisticRegression,Original,0.8944,0.8763,0.8944,0.8652,0.7584,0.3059,0.2427,0.3121
LogisticRegression,TVAE,0.8596,0.8423,0.8596,0.8497,0.6979,0.5734,0.2293,0.2329
RandomForest,CTGAN,0.8932,0.8726,0.8932,0.8651,0.6912,0.3571,0.2445,0.3063
RandomForest,GaussianCopula,0.883,0.7797,0.883,0.8281,0.646,0.3516,0.0,0.0
RandomForest,Original,0.8937,0.8729,0.8937,0.8704,0.789,0.3599,0.284,0.3306
RandomForest,TVAE,0.8693,0.8501,0.8693,0.8577,0.7226,0.8899,0.2614,0.2679
