Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.5625,0.5812,0.5625,0.5707,,,0.0131,0.0131,0.2,10.0,2.0,0.01,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,10.0,2.0,0.01,,
LogisticRegression,Anonymous,0.6667,0.6093,0.6667,0.6159,,,0.0588,0.0684,0.2,10.0,2.0,0.01,,
RandomForest,Anonymous,0.5833,0.6194,0.5833,0.5962,,,0.0985,0.1008,0.2,10.0,2.0,0.01,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,10.0,2.0,0.01,,
DecisionTree,Anonymous,0.5104,0.5148,0.5104,0.5126,,,-0.1291,-0.1292,0.2,10.0,2.0,0.05,,
KNN,Anonymous,0.6667,0.6266,0.6667,0.6319,,,0.1111,0.1206,0.2,10.0,2.0,0.05,,
LogisticRegression,Anonymous,0.5521,0.548,0.5521,0.55,,,-0.052,-0.052,0.2,10.0,2.0,0.05,,
RandomForest,Anonymous,0.5104,0.5312,0.5104,0.5196,,,-0.0899,-0.0905,0.2,10.0,2.0,0.05,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,0.2,10.0,2.0,0.05,,
DecisionTree,Anonymous,0.5486,0.5678,0.5486,0.5571,,,-0.0183,-0.0184,0.2,10.0,2.0,0.1,,
KNN,Anonymous,0.6806,0.6398,0.6806,0.6431,,,0.1247,0.1373,0.2,10.0,2.0,0.1,,
LogisticRegression,Anonymous,0.5278,0.5764,0.5278,0.5445,,,0.0016,0.0017,0.2,10.0,2.0,0.1,,
RandomForest,Anonymous,0.6042,0.5859,0.6042,0.5938,,,0.0238,0.024,0.2,10.0,2.0,0.1,,
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0,0.2,10.0,2.0,0.1,,
