epochs,Dataset,Model,F1
20.0,CTGAN,LogisticRegression,0.57484
40.0,CTGAN,LogisticRegression,0.5692
60.0,CTGAN,LogisticRegression,0.60808
80.0,CTGAN,LogisticRegression,0.58386
100.0,CTGAN,LogisticRegression,0.5724
120.0,CTGAN,LogisticRegression,0.57018
150.0,CTGAN,LogisticRegression,0.59704
200.0,CTGAN,LogisticRegression,0.6223
200.0,TVAE,LogisticRegression,0.60296
250.0,CTGAN,LogisticRegression,0.59284
250.0,TVAE,LogisticRegression,0.5755600000000001
300.0,CTGAN,LogisticRegression,0.60303125
300.0,GaussianCopula,LogisticRegression,0.7610875
300.0,TVAE,LogisticRegression,0.58238125
400.0,CTGAN,LogisticRegression,0.6087400000000001
400.0,TVAE,LogisticRegression,0.71118
500.0,CTGAN,LogisticRegression,0.57864
500.0,TVAE,LogisticRegression,0.71608
1000.0,CTGAN,LogisticRegression,0.6121800000000001
1000.0,TVAE,LogisticRegression,0.80838
