Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.5208,0.6174,0.5208,0.536,0.5515,17.2709,0.0846,0.0963
DecisionTree,Original,0.7917,0.7959,0.7917,0.7934,0.7667,7.5091,0.5238,0.5244
DecisionTree,TVAE,0.6354,0.5889,0.6354,0.6013,0.5167,13.1409,0.0378,0.0405
KNN,CTGAN,0.4062,0.4988,0.4062,0.4242,0.4722,2.2821,-0.1259,-0.1448
KNN,Original,0.6146,0.5719,0.6146,0.5861,0.499,2.8304,0.0034,0.0035
KNN,TVAE,0.6875,0.4727,0.6875,0.5602,0.452,9.5157,0.0,0.0
LogisticRegression,CTGAN,0.6771,0.5773,0.6771,0.5724,0.502,0.6414,0.004,0.0081
LogisticRegression,Original,0.8333,0.8355,0.8333,0.8225,0.7889,0.4543,0.5733,0.5949
LogisticRegression,TVAE,0.6771,0.7422,0.6771,0.6889,0.7611,0.7602,0.3491,0.3737
RandomForest,CTGAN,0.4375,0.5807,0.4375,0.4375,0.4944,0.7449,0.0137,0.0182
RandomForest,Original,0.8333,0.8355,0.8333,0.8225,0.823,0.4518,0.5733,0.5949
RandomForest,TVAE,0.6771,0.6381,0.6771,0.6397,0.6381,0.6139,0.1298,0.1431
SVM,CTGAN,0.5521,0.5561,0.5521,0.554,,,-0.033,-0.033
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0
