Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.5243,0.5299,0.5243,0.527,N/A,N/A,0.2305,0.2305
DecisionTree,GaussianCopula,0.3989,0.384,0.3989,0.3892,N/A,N/A,0.0086,0.0086
DecisionTree,Original,0.6994,0.6997,0.6994,0.6995,N/A,N/A,0.5115,0.5115
DecisionTree,TVAE,0.5876,0.5737,0.5876,0.5757,N/A,N/A,0.3195,0.3227
KNN,CTGAN,0.5266,0.4994,0.5266,0.5034,N/A,N/A,0.2066,0.211
KNN,GaussianCopula,0.3672,0.3743,0.3672,0.3621,N/A,N/A,-0.0151,-0.0156
KNN,Original,0.5774,0.5653,0.5774,0.5703,N/A,N/A,0.3,0.3007
KNN,TVAE,0.5672,0.5203,0.5672,0.5325,N/A,N/A,0.249,0.2568
LogisticRegression,CTGAN,0.6316,0.5204,0.6316,0.5705,N/A,N/A,0.3526,0.3711
LogisticRegression,GaussianCopula,0.5864,0.5722,0.5864,0.5237,N/A,N/A,0.2419,0.29
LogisticRegression,Original,0.7492,0.7199,0.7492,0.7239,N/A,N/A,0.5716,0.5815
LogisticRegression,TVAE,0.6904,0.6649,0.6904,0.6661,N/A,N/A,0.4711,0.4795
RandomForest,CTGAN,0.6508,0.5581,0.6508,0.5919,N/A,N/A,0.394,0.4116
RandomForest,GaussianCopula,0.5627,0.5142,0.5627,0.4967,N/A,N/A,0.2152,0.2462
RandomForest,Original,0.7774,0.7666,0.7774,0.7628,N/A,N/A,0.6214,0.6306
RandomForest,TVAE,0.7073,0.6826,0.7073,0.6786,N/A,N/A,0.5063,0.5165
SVM,CTGAN,0.4881,0.3693,0.4881,0.3799,N/A,N/A,0.014,0.0214
SVM,GaussianCopula,0.4994,0.2494,0.4994,0.3327,N/A,N/A,0.0,0.0
SVM,Original,0.4994,0.2494,0.4994,0.3327,N/A,N/A,0.0,0.0
SVM,TVAE,0.5006,0.3752,0.5006,0.3634,N/A,N/A,0.0189,0.0407
