Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.7823,0.8323,0.7823,0.8037,0.6106,7.8481,0.1735,0.1809
DecisionTree,Original,0.8309,0.8396,0.8309,0.8351,0.6173,6.0943,0.2228,0.2233
DecisionTree,TVAE,0.8421,0.8316,0.8421,0.8366,0.5858,5.6918,0.1835,0.1842
KNN,CTGAN,0.8471,0.8301,0.8471,0.8378,0.6252,1.6953,0.1734,0.1754
KNN,Original,0.8779,0.8378,0.8779,0.8459,0.6105,2.1223,0.1376,0.172
KNN,TVAE,0.8791,0.8222,0.8791,0.8336,0.5817,2.5553,0.0438,0.0782
LogisticRegression,CTGAN,0.8811,0.8596,0.8811,0.8663,0.729,0.352,0.2913,0.3056
LogisticRegression,Original,0.8944,0.8763,0.8944,0.8652,0.7584,0.3059,0.2427,0.3121
LogisticRegression,TVAE,0.8924,0.8723,0.8924,0.8612,0.6867,0.3513,0.217,0.288
RandomForest,CTGAN,0.8749,0.8567,0.8749,0.8636,0.7309,0.4129,0.2909,0.2985
RandomForest,Original,0.8948,0.875,0.8948,0.8718,0.7869,0.3605,0.2923,0.3397
RandomForest,TVAE,0.8925,0.873,0.8925,0.8609,0.7072,0.6905,0.2144,0.2874
