Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.4514,0.4736,0.4514,0.4617,0.3759,19.7739,-0.2376,-0.239
DecisionTree,Original,0.7986,0.7974,0.7986,0.798,0.7595,7.2588,0.5224,0.5225
KNN,CTGAN,0.6458,0.5711,0.6458,0.5885,0.4899,1.8533,-0.0077,-0.0091
KNN,Original,0.6597,0.6276,0.6597,0.6366,0.4986,2.8046,0.1136,0.118
LogisticRegression,CTGAN,0.7153,0.739,0.7153,0.6252,0.5514,0.6695,0.1076,0.2036
LogisticRegression,Original,0.8472,0.8588,0.8472,0.8339,0.7905,0.4473,0.5934,0.6293
RandomForest,CTGAN,0.6806,0.4793,0.6806,0.5624,0.4291,0.6471,-0.0273,-0.0787
RandomForest,Original,0.8403,0.8473,0.8403,0.8274,0.8192,0.4369,0.578,0.6083
SVM,CTGAN,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0
SVM,Original,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0
