epochs,Dataset,Model,AUC-ROC
20.0,CTGAN,DecisionTree,0.49074
40.0,CTGAN,DecisionTree,0.53338
60.0,CTGAN,DecisionTree,0.50746
80.0,CTGAN,DecisionTree,0.51128
100.0,CTGAN,DecisionTree,0.51764
120.0,CTGAN,DecisionTree,0.51576
150.0,CTGAN,DecisionTree,0.47844
200.0,CTGAN,DecisionTree,0.50648
200.0,TVAE,DecisionTree,0.50674
250.0,CTGAN,DecisionTree,0.50678
250.0,TVAE,DecisionTree,0.5165599999999999
300.0,CTGAN,DecisionTree,0.5117625
300.0,GaussianCopula,DecisionTree,0.63175
300.0,TVAE,DecisionTree,0.48651875
400.0,CTGAN,DecisionTree,0.5401
400.0,TVAE,DecisionTree,0.50836
500.0,CTGAN,DecisionTree,0.51754
500.0,TVAE,DecisionTree,0.55672
1000.0,CTGAN,DecisionTree,0.51854
1000.0,TVAE,DecisionTree,0.7071799999999999
