Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.6328,0.6516,0.6328,0.6405,N/A,N/A,0.4162,0.4177
DecisionTree,Original,0.687,0.6936,0.687,0.6901,N/A,N/A,0.4953,0.4955
KNN,Anonymous,0.6723,0.6572,0.6723,0.6634,N/A,N/A,0.4563,0.4576
KNN,Original,0.5774,0.5653,0.5774,0.5703,N/A,N/A,0.3,0.3007
LogisticRegression,Anonymous,0.7379,0.7253,0.7379,0.7303,N/A,N/A,0.5667,0.5678
LogisticRegression,Original,0.7492,0.7199,0.7492,0.7239,N/A,N/A,0.5716,0.5815
RandomForest,Anonymous,0.7379,0.7091,0.7379,0.7146,N/A,N/A,0.5579,0.5646
RandomForest,Original,0.7684,0.7546,0.7684,0.7555,N/A,N/A,0.609,0.6152
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,N/A,N/A,0.0,0.0
SVM,Original,0.4994,0.2494,0.4994,0.3327,N/A,N/A,0.0,0.0
