epochs,Dataset,Model,Precision
50.0,CTGAN,LogisticRegression,0.85578
50.0,TVAE,LogisticRegression,0.84518
100.0,CTGAN,LogisticRegression,0.85784
100.0,TVAE,LogisticRegression,0.85884
200.0,CTGAN,LogisticRegression,0.87346
200.0,TVAE,LogisticRegression,0.8558399999999999
300.0,CTGAN,LogisticRegression,0.87215
300.0,GaussianCopula,LogisticRegression,0.7797
300.0,TVAE,LogisticRegression,0.8427
500.0,CTGAN,LogisticRegression,0.86622
500.0,TVAE,LogisticRegression,0.85992
750.0,CTGAN,LogisticRegression,0.8704000000000001
750.0,TVAE,LogisticRegression,0.8324400000000001
1000.0,CTGAN,LogisticRegression,0.86664
1000.0,TVAE,LogisticRegression,0.8718999999999999
