Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.5833,0.63,0.5833,0.5981,0.5664,15.0182,0.1191,0.1235
DecisionTree,CTGAN_HYBRID,0.5417,0.5741,0.5417,0.5545,0.4982,16.52,-0.0034,-0.0034
DecisionTree,GaussianCopula_HYBRID,0.6181,0.6156,0.6181,0.6168,0.5468,13.7667,0.0942,0.0942
DecisionTree,Original,0.7222,0.7477,0.7222,0.73,0.7109,10.0121,0.3919,0.3986
KNN,Anonymous,0.6389,0.6055,0.6389,0.6165,0.4816,2.579,0.0659,0.0681
KNN,CTGAN_HYBRID,0.6944,0.6389,0.6944,0.5926,0.5035,2.2939,0.0341,0.0714
KNN,GaussianCopula_HYBRID,0.5694,0.5521,0.5694,0.56,0.4527,2.6138,-0.0548,-0.0551
KNN,Original,0.6597,0.6276,0.6597,0.6366,0.4986,2.8046,0.1136,0.118
LogisticRegression,Anonymous,0.5486,0.6464,0.5486,0.565,0.5861,0.7616,0.1301,0.1473
LogisticRegression,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,0.4745,0.7892,0.0,0.0
LogisticRegression,GaussianCopula_HYBRID,0.7014,0.6913,0.7014,0.5965,0.4607,0.6439,0.048,0.1143
LogisticRegression,Original,0.8403,0.8431,0.8403,0.8294,0.788,0.4495,0.5839,0.6067
RandomForest,Anonymous,0.6319,0.6296,0.6319,0.6307,0.576,0.7124,0.1272,0.1272
RandomForest,CTGAN_HYBRID,0.6875,0.4808,0.6875,0.5658,0.56,0.6345,-0.0138,-0.0555
RandomForest,GaussianCopula_HYBRID,0.6181,0.5641,0.6181,0.582,0.4318,0.686,-0.0238,-0.0254
RandomForest,Original,0.8264,0.8219,0.8264,0.8202,0.7964,0.4681,0.5661,0.5731
SVM,Anonymous,0.6944,0.4823,0.6944,0.5692,N/A,N/A,0.0,0.0
SVM,CTGAN_HYBRID,0.6944,0.4823,0.6944,0.5692,N/A,N/A,0.0,0.0
SVM,GaussianCopula_HYBRID,0.6944,0.4823,0.6944,0.5692,N/A,N/A,0.0,0.0
SVM,Original,0.6944,0.4823,0.6944,0.5692,N/A,N/A,0.0,0.0
