Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,epochs
DecisionTree,Anonymous,0.6375,0.628,0.6375,0.6322,,,0.1272,0.1276,1
DecisionTree,CTGAN,0.5458,0.5637,0.5458,0.5538,,,-0.0227,-0.0228,1
DecisionTree,GaussianCopula,0.5458,0.5699,0.5458,0.556,,,-0.0082,-0.0082,1
DecisionTree,Original,0.6958,0.7093,0.6958,0.7011,,,0.3151,0.3168,1
DecisionTree,TVAE,0.4583,0.6112,0.4583,0.46,,,0.0502,0.0666,1
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,1
KNN,CTGAN,0.6625,0.5465,0.6625,0.5704,,,-0.0255,-0.0402,1
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,1
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,1
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,1
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,1
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,1
LogisticRegression,TVAE,0.5417,0.5612,0.5417,0.5503,,,-0.0284,-0.0285,1
RandomForest,Anonymous,0.5583,0.5616,0.5583,0.5599,,,-0.0278,-0.0278,1
RandomForest,CTGAN,0.6875,0.4775,0.6875,0.5636,,,-0.0083,-0.0432,1
RandomForest,GaussianCopula,0.7083,0.6838,0.7083,0.6406,,,0.1347,0.1867,1
RandomForest,Original,0.8042,0.7981,0.8042,0.795,,,0.5057,0.5161,1
RandomForest,TVAE,0.5042,0.5666,0.5042,0.5229,,,-0.0143,-0.0152,1
DecisionTree,Anonymous,0.625,0.6194,0.625,0.622,,,0.1074,0.1075,2
DecisionTree,CTGAN,0.5292,0.5662,0.5292,0.5433,,,-0.0163,-0.0167,2
DecisionTree,GaussianCopula,0.5583,0.568,0.5583,0.5629,,,-0.0127,-0.0128,2
DecisionTree,Original,0.7042,0.7228,0.7042,0.7108,,,0.3433,0.3467,2
DecisionTree,TVAE,0.4708,0.5488,0.4708,0.4908,,,-0.0483,-0.0528,2
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,2
KNN,CTGAN,0.625,0.589,0.625,0.6014,,,0.034,0.0352,2
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,2
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,2
KNN,TVAE,0.675,0.5541,0.675,0.5712,,,-0.0121,-0.0235,2
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,2
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,2
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,2
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,2
LogisticRegression,TVAE,0.5583,0.5481,0.5583,0.5529,,,-0.0593,-0.0594,2
RandomForest,Anonymous,0.5583,0.5616,0.5583,0.5599,,,-0.0278,-0.0278,2
RandomForest,CTGAN,0.6792,0.6,0.6792,0.5916,,,0.0251,0.0395,2
RandomForest,GaussianCopula,0.7042,0.6855,0.7042,0.6181,,,0.0923,0.1557,2
RandomForest,Original,0.7708,0.7612,0.7708,0.7615,,,0.4262,0.4331,2
RandomForest,TVAE,0.5708,0.5692,0.5708,0.57,,,-0.01,-0.01,2
DecisionTree,Anonymous,0.6458,0.6313,0.6458,0.6373,,,0.134,0.1348,3
DecisionTree,CTGAN,0.4917,0.5528,0.4917,0.5107,,,-0.0433,-0.0458,3
DecisionTree,GaussianCopula,0.575,0.575,0.575,0.575,,,0.0036,0.0036,3
DecisionTree,Original,0.7125,0.7205,0.7125,0.7159,,,0.3432,0.3439,3
DecisionTree,TVAE,0.4667,0.5586,0.4667,0.4853,,,-0.0273,-0.0308,3
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,3
KNN,CTGAN,0.575,0.6026,0.575,0.5859,,,0.0665,0.0674,3
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,3
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,3
KNN,TVAE,0.6875,0.5814,0.6875,0.571,,,0.002,0.0061,3
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,3
LogisticRegression,CTGAN,0.6542,0.5569,0.6542,0.5765,,,-0.0211,-0.0287,3
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,3
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,3
LogisticRegression,TVAE,0.5083,0.5629,0.5083,0.5262,,,-0.0225,-0.0236,3
RandomForest,Anonymous,0.5625,0.5641,0.5625,0.5633,,,-0.0219,-0.0219,3
RandomForest,CTGAN,0.6,0.5939,0.6,0.5968,,,0.0479,0.048,3
RandomForest,GaussianCopula,0.6792,0.606,0.6792,0.597,,,0.0345,0.0513,3
RandomForest,Original,0.8292,0.8285,0.8292,0.819,,,0.5617,0.5795,3
RandomForest,TVAE,0.4583,0.5887,0.4583,0.4674,,,0.0228,0.0285,3
DecisionTree,Anonymous,0.65,0.637,0.65,0.6424,,,0.1475,0.1483,4
DecisionTree,CTGAN,0.575,0.5844,0.575,0.5794,,,0.0255,0.0255,4
DecisionTree,GaussianCopula,0.5375,0.5588,0.5375,0.5467,,,-0.034,-0.0343,4
DecisionTree,Original,0.7208,0.7287,0.7208,0.7241,,,0.3622,0.363,4
DecisionTree,TVAE,0.4042,0.5572,0.4042,0.397,,,-0.0191,-0.027,4
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,4
KNN,CTGAN,0.6208,0.5707,0.6208,0.5868,,,-0.0057,-0.0061,4
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,4
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,4
KNN,TVAE,0.6792,0.4757,0.6792,0.5595,,,-0.0246,-0.0751,4
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,4
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,4
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,4
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,4
LogisticRegression,TVAE,0.4833,0.5507,0.4833,0.503,,,-0.0467,-0.05,4
RandomForest,Anonymous,0.5583,0.568,0.5583,0.5629,,,-0.0127,-0.0128,4
RandomForest,CTGAN,0.6917,0.6371,0.6917,0.5931,,,0.0398,0.0771,4
RandomForest,GaussianCopula,0.6958,0.6536,0.6958,0.6275,,,0.1019,0.1384,4
RandomForest,Original,0.8083,0.8048,0.8083,0.7962,,,0.5063,0.5239,4
RandomForest,TVAE,0.4042,0.5281,0.4042,0.4119,,,-0.0657,-0.0836,4
DecisionTree,Anonymous,0.6458,0.6287,0.6458,0.6355,,,0.1272,0.1283,5
DecisionTree,CTGAN,0.5833,0.5956,0.5833,0.5889,,,0.0515,0.0517,5
DecisionTree,GaussianCopula,0.5583,0.5805,0.5583,0.5677,,,0.0161,0.0162,5
DecisionTree,Original,0.7,0.7147,0.7,0.7056,,,0.3269,0.329,5
DecisionTree,TVAE,0.5167,0.5465,0.5167,0.529,,,-0.0616,-0.0625,5
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,5
KNN,CTGAN,0.5917,0.5408,0.5917,0.5599,,,-0.0695,-0.073,5
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,5
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,5
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,5
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,5
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,5
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,5
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,5
LogisticRegression,TVAE,0.5833,0.5485,0.5833,0.5626,,,-0.056,-0.0573,5
RandomForest,Anonymous,0.5625,0.5641,0.5625,0.5633,,,-0.0219,-0.0219,5
RandomForest,CTGAN,0.6958,0.6871,0.6958,0.5824,,,0.0286,0.0873,5
RandomForest,GaussianCopula,0.7083,0.6838,0.7083,0.6406,,,0.1347,0.1867,5
RandomForest,Original,0.8125,0.8091,0.8125,0.8013,,,0.519,0.5354,5
RandomForest,TVAE,0.5417,0.5767,0.5417,0.5551,,,0.0072,0.0074,5
